	Activated CD4 T cell	Activated dendritic cell	Central memory CD4 T cell	Type 1 T helper cell	Type 2 T helper cell
GSM5576716	0.375333739	0.496795142	0.691198034	0.294807054	0.022754302
GSM5576717	0.405224532	0.455382866	0.705244583	0.272235283	0.006777979
GSM5576718	0.360482257	0.5425841	0.683405204	0.290811709	0.046673284
GSM5576719	0.424799765	0.503308458	0.692464898	0.276357456	0.013398833
GSM5576720	0.357142602	0.495463108	0.669970247	0.291952232	0.001385244
GSM5576721	0.364089789	0.489238316	0.68455729	0.315103213	0.00664185
GSM5576722	0.350753087	0.457781595	0.704497632	0.293031694	-0.005409604
GSM5576723	0.286737866	0.455092367	0.717456943	0.301387153	0.008422512
GSM5576724	0.45947476	0.43300787	0.666845015	0.263767367	0.022602216
GSM5576725	0.346101791	0.467101118	0.70862297	0.316891294	0.017913336
GSM5576726	0.395531595	0.446919922	0.69789278	0.296465388	0.028362313
GSM5576727	0.397713282	0.45837641	0.681905783	0.283207804	0.044875387
GSM5576728	0.326689891	0.477309265	0.691569931	0.296167655	-0.065208339
GSM5576729	0.398166378	0.45157843	0.691994656	0.297932129	0.019094885
GSM5576730	0.395238028	0.431598035	0.735897323	0.286252947	-0.009832552
GSM5576731	0.443682509	0.491301181	0.69545809	0.304683695	0.045773538
GSM5576732	0.379517687	0.479708105	0.685648557	0.291775227	0.030965775
GSM5576733	0.380167145	0.502255391	0.711837379	0.280537111	-0.015387091
GSM5576734	0.404613948	0.460908284	0.683360717	0.308265218	0.026798854
GSM5576735	0.4141208	0.500652789	0.70843684	0.279165426	0.056524129
GSM5576736	0.422154647	0.420068539	0.709352593	0.284782394	0.028884558
GSM5576737	0.406597824	0.489877151	0.684309202	0.298400255	0.063227424
GSM5576738	0.447345125	0.462060026	0.689731166	0.283468101	0.055407065
GSM5576739	0.411195782	0.468769031	0.686902344	0.307513078	0.069592876
GSM5576740	0.393765364	0.473531527	0.686651843	0.290657791	0.039023574
GSM5576741	0.380016708	0.577676475	0.658634959	0.29561912	0.064801754
GSM5576742	0.3909627	0.42439178	0.707143185	0.270094215	0.014885137
GSM5576743	0.373421354	0.521300567	0.696184146	0.290161403	0.051260514
GSM5576744	0.441723952	0.513395607	0.692747372	0.287394656	0.054589767
GSM5576745	0.382635688	0.46980391	0.684614267	0.299778104	-0.005525672
GSM5576746	0.401276081	0.486274768	0.697889945	0.30999855	0.038879593
GSM5576747	0.312133255	0.516172238	0.660500981	0.257267891	0.026087879
GSM5576748	0.344245321	0.484861526	0.682466614	0.27567952	-0.023412032
GSM5576749	0.382879318	0.443748125	0.679926145	0.276203538	0.000999642
GSM5576750	0.380352497	0.462358156	0.690876781	0.304373847	0.04761002
GSM5576751	0.433475905	0.424935481	0.661750926	0.280900973	0.062980871
GSM5576752	0.388728638	0.46535129	0.693180489	0.289045931	0.043436398
GSM5576753	0.390975317	0.504330712	0.664385879	0.277731237	0.000955354
GSM5576754	0.383885582	0.452205673	0.673441577	0.290853236	0.046618588
GSM5576755	0.397028777	0.44945086	0.720136008	0.308373052	0.002764708
GSM5576756	0.299459639	0.457586513	0.680891749	0.28341458	0.003135713
GSM5576757	0.324462686	0.49168277	0.702947394	0.289092328	-0.036305526
GSM5576758	0.399556234	0.478420828	0.702489804	0.294043072	0.01131065
GSM5576759	0.542095533	0.372710445	0.636798886	0.262686276	0.062287244
GSM5576760	0.387452947	0.493334085	0.714273583	0.299036339	0.025785828
GSM5576761	0.438649981	0.442065671	0.702466299	0.290031373	0.044548399
GSM5576762	0.411989715	0.479383502	0.699548023	0.307154323	0.063548813
GSM5576763	0.437258301	0.46605926	0.661846228	0.278863001	0.061285114
GSM5576764	0.382402983	0.473057735	0.698033189	0.300181409	0.046511538
GSM5576765	0.426504168	0.470275987	0.682116018	0.285992867	0.008750622
GSM5576766	0.42685796	0.437019578	0.695942347	0.268344305	0.025264368
GSM5576767	0.464990565	0.464907382	0.662850062	0.281580748	0.058586374
GSM5576768	0.406595261	0.465778307	0.718514443	0.295672387	0.020127091
GSM5576769	0.391214597	0.473406135	0.69374479	0.275313697	0.017405249
GSM5576770	0.388733294	0.484126294	0.71571436	0.294351092	0.057733277
GSM5576771	0.417309997	0.45785833	0.717346073	0.283315303	0.040950526
GSM5576772	0.379146485	0.500259539	0.697023936	0.301920909	0.0367933
GSM5576773	0.405916718	0.483765625	0.704077189	0.296800113	0.024256793
GSM5576774	0.431253064	0.400467184	0.714595604	0.276064749	0.044332078
